"CIK","Ticker","Name","Exchange","SIC","Business","Incorporated","IRS"
"1090872",A,Agilent Technologies Inc,NYSE,"3825",CA,DE,"770518772"
"4281",AA,Alcoa Inc,NYSE,"3350",PA,PA,"250317820"
"6201",AAL,American Airlines Group Inc,NASDAQ,"4512",TX,DE,"751825172"
"706688",AAN,Aarons Inc,NYSE,"7359",GA,GA,"580687630"
"824142",AAON,Aaon Inc,NASDAQ,"3585",OK,NV,"870448736"
"1158449",AAP,Advance Auto Parts Inc,NYSE,"5531",VA,DE,"542049910"
"320193",AAPL,Apple Inc,NASDAQ,"3571",CA,CA,"942404110"
"1500217",AAT,American Assets Trust Inc,NYSE,"6798",CA,MD,""
"801558",AB,Cannon Express Inc,NYSE,"4213",AR,DE,"710650141"
"825313",AB,Alliancebernstein Holding LP,NYSE,"6282",NY,DE,"133434400"
"1551152",ABBV,Abbvie Inc,NYSE,"2834",IL,DE,"320375147"
"1140859",ABC,Amerisourcebergen Corp,NYSE,"5122",PA,DE,"233079390"
"351569",ABCB,Ameris Bancorp,NASDAQ,"6022",GA,GA,"581456434"
"1144980",ABG,Asbury Automotive Group Inc,NYSE,"5500",GA,DE,"10609375"
"771497",ABM,Abm Industries Inc,NYSE,"7340",NY,DE,"941369354"
"815094",ABMD,Abiomed Inc,NASDAQ,"3841",MA,DE,"42743260"
"1253986",ABR,Arbor Realty Trust Inc,NYSE,"6798",NY,MD,"200057959"
"1800",ABT,Abbott Laboratories,NYSE,"2834",IL,IL,"360698440"
"1304623",ACA,Aca Capital Holdings Inc,NYSE,"6351",NY,"",""
"1070494",ACAD,Acadia Pharmaceuticals Inc,NASDAQ,"2834",CA,DE,"61376651"
"1283630",ACC,American Campus Communities Inc,NYSE,"6798",TX,MD,"760753089"
"947484",ACGL,Arch Capital Group LTD,NASDAQ,"6331",D0,"",""
"1520697",ACHC,Acadia Healthcare Company Inc,NASDAQ,"8093",TN,DE,""
"1037676",ACI,Arch Coal Inc,NYSE,"1221",MO,DE,"430921172"
"935036",ACIW,Aci Worldwide Inc,NASDAQ,"7372",FL,DE,"470772104"
"868857",ACM,Aecom Technology Corp,NYSE,"8711",CA,DE,"611088522"
"1134538",ACN,Accenture LTD,NYSE,"7389",D0,"",""
"1467373",ACN,Accenture PLC,NYSE,"7389",L2,L2,"980627530"
"796343",ADBE,Adobe Systems Inc,NASDAQ,"7372",CA,DE,"770019522"
"917251",ADC,Agree Realty Corp,NYSE,"6798",MI,DE,"383148187"
"6281",ADI,Analog Devices Inc,NASDAQ,"3674",MA,MA,"42348234"
"891554",ADI,Document Technologies Inc,NASDAQ,"",NY,NY,""
"7084",ADM,Archer Daniels Midland Co,NYSE,"2070",IL,DE,"410129150"
"8670",ADP,Automatic Data Processing Inc,NASDAQ,"7374",NJ,DE,"221467904"
"1101215",ADS,Alliance Data Systems Corp,NYSE,"7389",TX,DE,"311429215"
"769397",ADSK,Autodesk Inc,NASDAQ,"7372",CA,DE,"942819853"
"1546640",ADT,Adt Corp,NYSE,"7381",FL,DE,"454517261"
"1468328",ADUS,Addus Homecare Corp,NASDAQ,"8082",IL,DE,"205340172"
"1002910",AEE,Ameren Corp,NYSE,"4931",MO,MO,"431723446"
"927003",AEIS,Advanced Energy Industries Inc,NASDAQ,"3679",CO,DE,"840846841"
"1039828",AEL,American Equity Investment Life Holding Co,NYSE,"6311",IA,IA,"421447959"
"919012",AEO,American Eagle Outfitters Inc,NYSE,"5651",PA,DE,"132721761"
"4904",AEP,American Electric Power Co Inc,NYSE,"4911",OH,NY,"134922640"
"1378789",AER,Aercap Holdings NV,NYSE,"7359",P7,P7,""
"874761",AES,Aes Corp,NYSE,"4991",VA,DE,"541163725"
"1042046",AFG,American Financial Group Inc,NYSE,"6331",OH,OH,"311544320"
"4977",AFL,Aflac Inc,NYSE,"6321",GA,GA,"581167100"
"1439222",AGIO,Agios Pharmaceuticals Inc,NASDAQ,"2834",MA,DE,""
"1423689",AGNC,American Capital Agency Corp,NASDAQ,"6798",MD,"","261701984"
